[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.164:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.164:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.164:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.164:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.172:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.172:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.172:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195408.172:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.260:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195412.276:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.006:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.007:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.008:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.008:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.009:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.009:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.009:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195414.010:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.538:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.538:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.538:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.546:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.546:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.546:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.546:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195415.546:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.163:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.163:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.163:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.163:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.163:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.178:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.178:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195431.178:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.797:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195452.813:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195500.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.713:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195516.896:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195520.879:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195533.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195533.328:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
